FDAT	TDAT	OMR	STN	LNR	STN_NAMN	X	Y	TOP	FORS	REFNIVA	RORHOJD	RORLANGD	SILLANGD	JORDDJUP	MATTYP	STNTYP	STNMTRL	DIAM	AKVIFER	GEOHYLAG	JORDART	GENES	TACKT	BERGART	MAGSTLK	TYPOMR	GVMILJO	ANM	NIVMET	VDIST	VT	N	E	SESS	EUCD_GWB	TEMPERATURDJUP	ID
1996-04-25	1999-10-04	200	1	1	Hishult_1	6260600	1345520	04CSO	1381	105	1,05	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA		B				SE5		6257207	395209				200_1
1996-04-16	2006-10-17	200	2	1	Hishult_2	6260043	1345457	04CSO	1381	105	0,98	4,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	B	3			SE5		6256650	395152				200
_2
1995-04-18	1999-10-02	300	1	1	Hörby_1	6196500	1371750	02DNV	1266	150	0,5	3,1	0.5		K	R	PE	54	JÖ	I	MN	XX		GNE		B				SE5		6193453	422171				300_1
1995-11-08	2006-10-18	300	2	1	Hörby_2	6196470	1371766	02DNV	1266	150	0,5	4,27	0.5		K	R	PE	54	JÖ	I	MN	XX		GNE	L	B	3			SE5		6193424	422188				300
_2
	1999-04-10	800	1	1	Gränna_1	6439870	1432800	07ENO	687	230	1	4,53	0.5	3,9	K	R	PE	54	JÖ	I	MN	XX		GRA		B				SE4		6437406	480317				800_1
2001-03-02	2006-10-04	810	1	1	Ydre_1	6429739	1453839	07FNV	512		0,8	4	0.5		K	R	PE	50	JÖ	I	MN	XX			L	B	3			SE4		6427532	501466				810_1
2001-03-02	2006-10-04	810	2	1	Ydre_2	6429734	1453793	07FNV	512		1,1	4	0.5		K	R	PE	50	JÖ	I	MN	XX			L	B	3			SE4		6427526	501420				810_2
1996-04-25		900	1	1	Åseda_1	6330468	1460895	05FNV	760	265	0,65	2,5	0.5	2,8	K	R	PE	54	JÖ	I	MN	XX		GRA	L	B	3	Alternativnamn: Nottebäck		SE4		6328394	509696				900_1
2001-11-13		1000	2	2	Ringarum_2	6466130	1535820	08GSO	563	75	0,01	3	0.5		K	R	PE	63	JÖ	I	MN	XX		GGR	L	E	3			SE4		6464886	582975				1000_2
2004-11-04	2006-10-04	1110	3	1	Ålberga_3	6513890	1542104	09GSO	480		1	4	1		K	R	PE	50	JÖ	U	MN	XX	XX	GRA	L	E	3	0,3 mm slits		SE3		6512702	588683				1110_3
2004-11-04		1110	2	1	Ålberga_2	6513890	1542103	09GSO	480		1	5	1		K	R	PE	50	JÖ	U	MN	XX	XX	GRA	L	E	3	0,3 mm slits		SE3		6512702	588682				1110_2
2001-03-05	2004-04-19	1110	1	1	Ålberga_1	6514796	1541226	09GSO	480		1	4	0.5		K	R	PE	63	JÖ	I	MN	XX			L	E	3			SE3		6513597	587794				1110_1
1995-10-08	2006-10-17	1300	1	1	Fåsås_1	6761755	1446031	14ESO	2062	250	0,8	2,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	I	3			SE2		6759284	489639				1300_1
1995-10-08		1300	2	1	Fåsås_2	6761755	1446032	14ESO	2062	250	0,8	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	I	3			SE2		6759284	489640				1300_2
1996-05-02	2003-06-10	1400	1	1	Dalarås_1	6811491	1505988	15GSV	2121	180	0,9	2	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	G	3			SE2		6809735	548954				1400
_1
1996-05-02		1400	2	1	Dalarås_2	6811491	1505980	15GSV	2121	180	1,1	3	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	G	3			SE2		6809735	548946				1400_2
1995-10-09	2006-10-16	1500	1	1	Sälen_1	6790430	1375867	14DNO	2039	400	0,8	4	0.5		K	R	PE	54	JÖ	I	MN	XX		SST	L	I	3			SE2		6787079	419161				1500_1
1995-10-09		1500	2	1	Sälen_2	6790430	1375868	14DNO	2039	400	0,75	4	0.5		K	R	PE	54	JÖ	I	MN	XX		SST	L	I	3			SE2		6787079	419162				1500_2
1997-05-28		1510	1	1	Öje_1	6741499	1391095	13DNO	2023	420	0,93	3,6	0.5		K	R	PE	54	JÖ	I	MN	XX		DIA	L	I	3			SE2		6738364	434982				1510_1
1997-05-28	2006-10-16	1510	2	1	Öje_2	6741499	1391096	13DNO	2023	420	1,07	3,6	0.5		K	R	PE	54	JÖ	I	MN	XX		DIA	L	I	3			SE2		6738364	434983				1510
_2
1995-10-07		1600	2	1	Långå_2	6936149	1365799	17DNV	2361	600	0,8	5	0.5		K	R	PE	54	JÖ	I	MN	XX		GNE	L	I	3			SE2		6932586	407291				1600_2
1995-10-07	2006-10-13	1600	1	1	Långå_1	6936149	1365798	17DNV	2361	600	0,75	4	0.5		K	R	PE	54	JÖ	I	MN	XX		GNE	L	I	3			SE2		6932586	407290				1600_1
1995-10-04	2006-10-03	1710	1	1	Bräcke_1	6958222	1483279	18FSO	2305	350	0,8	2,5	0.5		K	R	PE	54	JÖ	I	MN	XX		FJÄ	L	I	3			SE2		6956115	524432				1710_1
1995-10-04	2006-10-03	1710	2	1	Bräcke_2	6958222	1483280	18FSO	2305	350	0,8	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		FJÄ	L	I	3			SE2		6956115	524433				1710_2
1996-05-03	2006-06-06	1720	1	1	Anundsjö_1	7041654	1611220	19INV	2284	110	1	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	G	3			SE2		7041117	651273				1720_1
1995-05-03		1720	2	1	Anundsjö_2	7041654	1611221	19INV	2284	110	0,7	4,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	G	3			SE2		7041117	651274				1720_2
1995-09-28	2006-10-04	1730	1	1	Berttjärn_1	7102175	1721473	21KSV	2480	80	0,55	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GNE	L	G	3	Namnändrad från Bäcksjön		SE1		7103012	760728				1730_1
1995-09-28		1730	2	1	Berttjärn_2	7102175	1721474	21KSV	2480	80	1	5	0.5		K	R	PE	54	JÖ	I	MN	XX		GNE	L	G	3	Namnändrad från Bäcksjön		SE1		7103012	760729				1730_2
1996-05-07		1800	1	1	Krokom_1	7021716	1428840	19ESO	2309	350	0,7	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		SKI	L	H	3			SE2		7018894	469225				1800_1
1995-10-04	2001-08-22	1800	2	1	Krokom_2	7021716	1428841	19ESO	2309	350	0,85	4,5	0.5		K	R	PE	54	JÖ	I	MN	XX		SKI	L	H	3			SE2		7018894	469226				1800
_2
1995-10-03		1900	1	1	Stora Blåsjön_1	7191110	1423355	22ENV	2313	575	1	2,5	0.5		K	R	PE	54	JÖ	I	MN	XX		FYL	L	J	3			SE2		7188128	461600				1900_1
1995-10-03	2006-10-10	1900	2	1	Stora Blåsjön_2	7191110	1423356	22ENV	2313	575	1,05	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		FYL	L	J	3			SE2		7188128	461601				1900_2
1995-10-03	2006-10-09	2000	1	1	Järvsjö_1	7170409	1563974	22HSV	2462	470	1,1	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	I	3			SE2		7169225	602416				2000_1
1995-10-03		2000	2	1	Järvsjö_2	7170409	1563975	22HSV	2462	470	1,1	4,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	I	3			SE2		7169225	602417				2000_2
1995-09-29	2006-10-05	2100	2	1	Nattavaara_2	7411420	1735889	27KSO	2523	365	0,6	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	I	3			SE1		7412361	771181				2100_2
1995-09-29		2100	1	1	Nattavaara_1	7411491	1735889	27KSO	2523	365	0,8	2,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GRA	L	I	3	Tillhör ingen EUCD-förekomst		SE1		7412432	771180				2100_1
	1999-04-24	2300	1	1	Suttarboda_1	6551550	1480870	10FSO	1880	85	0,95	2,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GGR		D				SE3		6549607	527022				2300_1
1996-10-30		2300	2	1	Suttarboda_2	6551562	1480848	10FSO	1880	85	1,1	3,5	0.5		K	R	PE	54	JÖ	I	MN	XX		GGR	L	D	3	Tillhör ingen EUCD-förekomst		SE3		6549619	527000				2300_2
1997-05-31		2510	1	1	Gålarmora_1	6692462	1621722	12INV	382	30	0,91	2,6	0.5	2,6	K	R	PE	54	JÖ	I	MN	XX		GAB	L	F	3			SE3		6692175	666106				2510_1
1995-10-02	2006-10-09	2600	1	1	Vallenäs_1	7275948	1471576	24FNV	2421	465	1	2,5	0.5		K	R	PE	54	JÖ	I	MN	XX		FYL	L	J	3	Alternativnamn: Tärnaby		SE1		7273538	508713				2600_1
1995-10-02	2009-10-19	2600	2	1	Vallenäs_2	7275948	1471577	24FNV	2421	465	0,7	3	0.5		K	R	PE	54	JÖ	I	MN	XX		FYL	L	J	3	Alternativnamn: Tärnaby		SE1		7273538	508714				2600_2
2000-10-15		5700	31	1	Gammtratten_31	7085710	1614120	20INV	2284		1,59	2,65			K	R	PE	22	JÖ	I	MN	XX		GRA		I	3			SE2		7084947	652753				5700_31
2000-11-01		5700	41	1	Gammtratten_41	7085356	1613445	20INV	2284						K	R										I	3			SE2		7084832	652946				5700_41
2001-08-19		5700	40	1	Gammtratten_40	7085710	1614140	20INV	2284		0,7	1,1			K	R	PE	22	JÖ	I	MN	XX		GRA		I	3			SE2		7084962	652768				5700_40
2000-10-15		5700	32	1	Gammtratten_32	7085710	1614121	20INV	2284		0,79	2,68			K	R	PE	22	JÖ	I	MN	XX		GRA		I	3			SE2		7084947	652754				5700_32
		5700	23	1	Gammtratten_23	7085710	1614102	20INV	2284		1,34	4,63			N	R	PE	22	JÖ	I	MN	XX		GRA		I		Rörhöjd över markytan är ungefärlig		SE2		7084934	652740				5700_23
2000-10-15		5700	22	1	Gammtratten_22	7085710	1614101	20INV	2284		1,47	4,69			K	R	PE	22	JÖ	I	MN	XX		GRA		I	3			SE2		7084934	652739				5700_22
2000-10-15		5700	21	1	Gammtratten_21	7085710	1614100	20INV	2284		0,68	2,7			K	R	PE	22	JÖ	I	MN	XX		GRA		I	3			SE2		7084934	652738				5700_21
2000-10-15		5700	12	1	Gammtratten_12	7085710	1614080	20INV	2284		1,68	6,7			K	R	PE	22	JÖ	I	MN	XX		GRA		I	3			SE2		7084920	652725				5700_12
1997-03-04		6700	11	1	Kindlahöjden_11	6626354	1449691	11ENO	1885		0,5	2,9	0.5	3,6	K	R	PE	32	JÖ	I	MN	XX		GRA		I	3			SE3		6623997	494953				6700_11
1997-05-30		6700	31	1	Kindlahöjden_31	6626384	1449721	11ENO	1885		0,5	1,6	0.5		K	R	PE	32	JÖ	U	MN	XX		GRA		I	3			SE3		6624027	494982				6700_31
		6700	51	1	Kindlahöjden_51	6626270	1449563	11ENO	1863		0,72	1,55	0,5		K	R	PE	32	JÖ	U	MN	XX	TO	GRA		I	3	Grusig morän, 55 cm torv		SE3		6623904	494815				6700_51
		6700	61	1	Kindlahöjden_61	6626310	1449518	11ENO	1863		0,76	1,56	0,5	0,9	K	R	PE	32	JÖ	U	MN	XX	TO	GRA		I	3	Stenig grusig siltig morän, 72 cm torv, berg? 90cm.		SE3		6623937	494774				6700_61
1997-05-30		6700	32	1	Kindlahöjden_32	6626384	1449722	11ENO	1885		0,45	2,5	0.5		K	R	PE	32	JÖ	U	MN	XX		GRA		I	3			SE3		6624027	494983				6700_32
1997-03-04		6700	22	1	Kindlahöjden_22	6626372	1449705	11ENO	1885		0,5	3,4	0.5	2,9	K	R	PE	32	JÖ	I	MN	XX		GRA		I	3			SE3		6624015	494966				6700_22
1997-03-04		6700	21	1	Kindlahöjden_21	6626372	1449704	11ENO	1885		0,5	2,5	0.5	2,9	K	R	PE	32	JÖ	I	MN	XX		GRA		I	3			SE3		6624015	494965				6700_21
1997-03-04		6700	12	1	Kindlahöjden_12	6626354	1449692	11ENO	1885		0,5	3,9	0.5	3,6	K	R	PE	32	JÖ	I	MN	XX		GRA		I	3			SE3		6623997	494954				6700_12
		6700	71	1	Kindlahöjden_71	6626396	1449575	11ENO	1863		0,64	1,62	0,5		K	R	PE	32	JÖ	U	MN	XX	TO	GRA		I	3	Siltig moig morän, 42 cm torv		SE3		6624038	494836				6700_71
1996-06-07		7700	21	1	Aneboda_21	6332760	1424400	05ENV	780	213,52	0,85	3	0.5	3,5	K	R	PE	32	JÖ	I	MN	XX				B	3			SE4		6330250	473034				7700_21
1996-06-06		7700	12	1	Aneboda_12	6332750	1424351	05ENV	780	229,65	0,8	5	0.5	6,8	K	R	PE	32	JÖ	I	MN	XX				B	3			SE4		6330240	473037				7700_12
1996-06-06		7700	11	1	Aneboda_11	6332750	1424350	05ENV	780	223,7	1,15	4	0.5	6,8	K	R	PE	32	JÖ	I	MN	XX				B	3			SE4		6330240	473036				7700_11
		7700	51	1	Aneboda_51	6332773	1424195	05ENV	780		0,7	1,64	0,5		K	R	PE	32	JÖ	U	MN	XX		GRA		B	3	Stenig grusig morän, 10 cm moss/humusskikt		SE4		6330264	472988				7700_51
		7700	53	1	Aneboda_53			05ENV	780		0,81	1,5	0,5		K	R	PE	32	JÖ	U	MN	XX	TO	GRA			3	Stenig morän, 50 cm torv		SE4		6330084	472945				7700_53
		7700	52	1	Aneboda_52			05ENV	780		0,75	1,5	0,5		K	R	PE	32	JÖ	U	MN	XX		GRA			3			SE4		6330171	472972				7700_52
1996-06-07		7700	31	1	Aneboda_31	6332790	1424350	05ENV	780	206,13	1,01	2	0.5		K	R	PE	32	JÖ	U	MN	XX				B	3			SE4		6330260	473034				7700_31
1996-06-06		7700	22	1	Aneboda_22	6332760	1424401	05ENV	780	217,64	0,8	4	0.5	3,5	K	R	PE	32	JÖ	I	MN	XX				B	3			SE4		6330250	473035				7700_22
1996-06-07		7700	32	1	Aneboda_32	6332790	1424351	05ENV	780	207,03	1,03	3	0.5		K	R	PE	32	JÖ	U	MN	XX				B	3			SE4		6330260	473035				7700_32
1972-01-17	1983-04-30	49	40	1	Malgomaj_40	7185664	1506837	22GNV	2462	519	0,8	3,9	1.0		N	R	ME	50	JÖ	I	MN	XX	SA	KVT		H				SE2		7183747	545109				49
_40
1972-01-17	1983-04-30	49	41	1	Malgomaj_41	7188433	1509518	22GNV	2462	354	1	7	1.0		N	R	ME	50	JÖ	I	MN	XX	XX	KVT		H				SE2		7186549	547754				49_41
1972-04-30	1983-04-30	49	42	1	Malgomaj_42	7177642	1521517	22GNV	2462	360	1,35	4,1	1.0		N	R	ME	50	JÖ	I	MN	XX	XX	KVT		H				SE2		7175916	559885				49
_42
1972-04-30	1978-07-15	49	43	1	Malgomaj_43	7186047	1515528	22GNV	2462	388	1,2	3,5	1.0		N	R	ME	50	JÖ	M	MN	XX	XX	KVT		H				SE2		7184241	553792				49
_43
1972-04-30	1983-04-30	49	44	1	Malgomaj_44	7194724	1504691	22GNV	2462	387	1,4	7,16	1.0		N	R	ME	50	JÖ	V	MN	XX	XX	SST		I				SE2		7192776	542849				49
_44
1972-04-30	1983-04-30	49	45	1	Malgomaj_45	7200946	1503001	23GSV	2462	369	1,3	4,72	1.0		N	R	ME	50	JÖ	I	MN	XX	XX	GRÖ		I				SE2		7198973	541081				49_45
1972-04-30	1983-04-30	49	46	1	Malgomaj_46	7203490	1495283	23FSO	2462	471	1,35	5,78	1.0		N	R	ME	50	JÖ	I	MN	XX	XX	KVT		I				SE2		7201418	533334				49_46
1972-05-15	1979-06-30	49	48	1	Malgomaj_48	7209168	1475355	23FSO	2462	558	1,1	7,34	1.0		N	R	ME	50	JÖ	I	MN	XX		GLS		J				SE2		7206839	513343				49_48
1972-04-30	1979-06-30	49	47	1	Malgomaj_47	7206201	1482363	23FSO	2462	554	1	2,75	1.0		N	R	ME	50	JS	I	MN	XX	TO	GLS		I				SE2		7203963	520385				49_47
1972-12-30	1986-01-15	50	1	1	Mora_1	6755077	1422611	14ESV	2062	304,08	1,3	3,35			N	R	PL	50	JÖ	I	MN	XX	XX	POR		I				SE2		6752321	466314				50_1
1972-11-06	1986-01-15	50	3	1	Mora_3	6755356	1422614	14ESV	2062	280	1,3	6,3			N	R	PL	50	JÖ	I	MN	XX	XX	POR		I				SE2		6752600	466313				50_3
1972-11-06	1986-01-15	50	4	1	Mora_4	6755496	1422608	14ESV	2062	277,25	1,2	4,35			N	R	PL	50	JÖ	I	MN	XX	XX	POR		I				SE2		6752740	466305				50_4
1973-06-05	1986-01-15	50	5	1	Mora_5	6751790	1420087	14ESV	2062	256,22	1,3	8,5	1.0		N	R	ME	50	JÖ	I	GR	GF	XX	POR		I				SE2		6749005	463831				50_5
1973-06-05	1986-01-15	50	7	2	Mora_7	6753539	1421983	14ESV	2062	231,6					NT	R		50	JÖ	I	MN	XX	XX	POR		G				SE2		6750776	465705				50_7
1973-06-05	1986-01-15	50	9	1	Mora_9	6754258	1422560	14ESV	2062	226,22	1,3	8,15	1.0		N	R	ME	50	JÖ	I	MN	XX	XX	POR		G				SE2		6751502	466273				50_9
1973-06-05	1986-01-15	50	10	1	Mora_10	6754220	1422573	14ESV	2062	226,21	1,3	7,55	1.0		N	R	ME	50	JÖ	I	MN	XX	XX	POR		G				SE2		6751464	466286				50
_10
1975-09-01	1980-06-30	51	1	2	Näsbyholm_1	6149521	1350887	01DNV	1287	49,71	1,35	8,7	1.0		N	R	PL	50	JÖ	I	ML	XX	XX	KST		A				SE4		6146261	401867				51_1
1974-04-03	1986-06-09	51	2	2	Näsbyholm_2	6150339	1350814	02DSV	1287	54,85	1,4	4,73	0.35		N	R	PL	50	JS	V	SA	GF	LE	KST		A				SE4		6147078	401785				51_2
1974-04-03	1986-06-09	51	3	2	Näsbyholm_3	6150365	1350799	02DSV	1287	54,85	1,4	3,85	0.30		N	R	PL	50	JÖ	V	SA	GF	XX	KST		A				SE4		6147103	401769				51_3
1975-09-01	1986-07-07	51	5	2	Näsbyholm_5	6150415	1351279	02DSV	1287	51,46	1,45	5,34	1.0		N	R	PL	50	JÖ	V	ML	XX	XX	KST		A				SE4		6147159	402248				51_5
1975-09-01	1986-07-07	51	6	2	Näsbyholm_6	6149558	1350910	01DNV	1287	47,56	0,5	6,6	1.0		N	R	PL	50	JÖ	M	ML	XX	XX	KST		A				SE4		6146298	401890				51_6
1975-09-01	1986-07-07	51	7	2	Näsbyholm_7	6149571	1350916	01DNV	1287	47,55	0,5	4	1.0		N	R	PL	50	JÖ	M	ML	XX	XX	KST		A				SE4		6146311	401895				51
_7
1975-02-20	1986-07-07	51	8	2	Näsbyholm_8	6150356	1351080	02DSV	1287	53,41	1,4	7,6	1.0		N	R	PL	50	JÖ	V	ML	XX	XX	KST		A				SE4		6147098	402050				51_8
1975-02-20	1986-06-09	51	9	2	Näsbyholm_9	6150363	1351087	02DSV	1287	53,46	1,4	4,9	1.0		N	R	PL	50	JÖ	V	ML	XX	XX	KST		A				SE4		6147105	402057				51_9
1975-09-01	1986-07-07	51	4	2	Näsbyholm_4	6150430	1351269	02DSV	1287	51,46	1,45	8,05	1.0		N	R	PL	50	JÖ	V	ML	XX	XX	KST		A				SE4		6147174	402238				51_4
1970-08-13	1978-07-16	52	1	1	Kungsbacka_1	6388004	1273120	06BNV	1481	46,09	1	3	1.0		N	R	ME	50	JÖ	I	SA	GF	XX	GNE		C				SE5		6383671	321354				52_1
1970-08-13	1975-05-14	52	3	1	Kungsbacka_3	6387501	1274419	06BNV	1481	48,17	1,15	3,97	1.0		N	R	ME	50	JS	M	MN	XX	LE	GNE		C				SE5		6383184	322658				52_3
1970-08-13	2003-12-11	52	4	1	Kungsbacka_4	6387120	1274641	06BNV	1481	44,68	1	3,1	1.0		N	R	ME	50	JS	M	MN	XX	LE	GNE		C				SE5		6382806	322884				52_4
1970-08-13	2003-07-16	52	5	1	Kungsbacka_5	6386485	1274817	06BNV	1384	53,4	1	10	1.0		N	R	ME	50	JÖ	I	MN	XX	XX	GNE		C				SE5		6382173	323067				52_5
1970-08-13	1974-03-15	52	6	1	Kungsbacka_6	6386093	1274341	06BNV	1384	84,68	1,1	3	1.0		N	R	ME	50	JÖ	I	SA	LM	XX	GNE		C				SE5		6381776	322596				52
_6
1970-08-13	1983-12-31	52	7	1	Kungsbacka_7	6385961	1273618	06BNV	1384	43,25	1,6	15	1.0		N	R	ME	50	JS	U	MN	XX	LE	GNE		C				SE5		6381635	321876				52_7
1970-08-13	1983-12-31	52	10	1	Kungsbacka_10	6385435	1273198	06BNV	1384	42,37	3	21	1.0		N	R	ME	50	JS	U	MN	XX	LE	GNE		C				SE5		6381105	321462				52_10
1970-08-13	1983-12-31	52	12	1	Kungsbacka_12	6386799	1273017	06BNV	1481	43,93	0,9	5	1.0		N	R	ME	50	JS	U	MN	XX	LE	GNE		C				SE5		6382465	321265				52
_12
1971-06-18	1998-12-13	53	2	1	Kungälv_2	6418126	1264942	07BSV	1482	10,03	1	6,5	1.0		N	R	ME	50	JS	M	MN	XX	LE	GNE		C				SE5		6413674	312823				53_2
2003-08-08		65	7	3	Linköping_7	6479904	1504878	08GNV	580	56,3	1,3	7,97	1.00		K	R	PL	50	JS	I	MN	XX	LV	GNE	L	E	5			SE4		6478283	551881				65_7
1975-05-14	1995-06-29	65	3	1	Linköping_3	6480678	1501705	08GNV	580	51,15	1,3	14,4	1.0		NT	R	ME	50	JS	I	MN	XX	LV	GRA		E				SE4		6479019	548700			4	65_3
1975-05-14	1980-02-16	65	4	1	Linköping_4	6478658	1501627	08GNV	580	59,2	1,3	10,8	1.0		N	R	ME	50	JS	I	MN	XX	LV	GRA		E				SE4		6476999	548646				65
_4
1975-05-14	1995-06-14	65	10	1	Linköping_10	6476041	1502214	08GNV	580	72,04	0,8	9,3	1.0		N	R	ME	50	JÖ	I	SA	GF	XX	GRA		E				SE4		6474390	549264		SE647525-548427		65_10
1975-05-14	1992-05-29	65	8	1	Linköping_8	6483459	1505882	08GNV	580	48,09	1,3	6,7	1.0		N	R	ME	50	JS	M	MN	XX	LV	GNE		E				SE4		6481848	552842				65
_8
1981-04-01	1993-04-21	65	9	3	Linköping_9	6482571	1505230	08GNV	580	51,76	-1,75	73,25			K	R	ME	110	BS	I	MN	XX	XX	GNE		E				SE4		6480953	552201				65_9
1976-04-18	1983-12-31	66	2	1	Kinda_2	6428881	1486285	07FNO	513	111,51	1,45	2,8	1.0		N	R	ME	50	JÖ	I	MN	XX	XX	GRA		B				SE4		6427061	533906				66_2
1975-09-01	1986-06-09	67	1	2	Vara_1	6470192	1335991	08CSO	1470	70,58	0,3	3,02	0.50		N	R	PL	50	JS	M	LE	LM	XX	GRA		E				SE5		6466553	383202				67_1
1975-08-17	1980-06-30	67	3	1	Vara_3	6470119	1336037	08CSO	1470	70,33	0,3	3,02	0.50		NK	R	PL	50	JS	M	LE	LM	XX	GRA		E				SE5		6466481	383249				67_3
1975-08-17	1980-06-30	67	4	1	Vara_4	6470092	1336060	08CSO	1470	70,33	0,3	5,02	0.50		NK	R	PL	50	JS	M	LE	LM	XX	GRA		E				SE5		6466454	383272				67_4
1975-09-01	1986-06-09	67	2	2	Vara_2	6470159	1336014	08CSO	1470	70,58	0,3	5,02	0.50		N	R	PL	50	JS	M	LE	LM	XX	GRA		E				SE5		6466520	383225				67_2
1976-06-24	1979-04-15	68	1	1	Sveg_1	6868133	1414757	16ESV	2361	414,71	1,5	16,8	1.0		N	R	ME	50	JÖ	V	SA	GF	XX	GRA		I		10016 heter Sveg		SE2		6865219	457067				68_1
1976-06-24	1983-12-31	68	6	1	Sveg_6	6877321	1421532	16ENV	2361	403,11	1,5	6,5	1.0		N	R	ME	50	JÖ	I	MN	XX	SA	GRA		I		10016 heter Sveg		SE2		6874486	463725				68_6
1986-02-15	2008-05-15	69	4	3	Lysekil_4	6482445	1248429	08ANO	1484	39,39	1,05	9,4	1.0		N	R	ME	50	JS	I	LE	LM	XX	GRA		C		Tilltäppt rör, meningslösa data		SE5		6477748	295553				69_4
1977-09-20		69	1	3	Lysekil_1	6481206	1248087	08ANO	1484	39,46	2,56	115,51		16,8	K	R	ME	125	BS	U	LE	LM	XX	GRA	L	C	1			SE5		6476506	295226				69_1
1976-11-15	1983-08-15	69	5	1	Lysekil_5	6482809	1247695	08ANO	1484	40,72	0,3	80	80.0	0	N	R	XX	125	BÖ	I	XX	XX	XX	GRA		C				SE5		6478103	294816				69
_5
1976-09-21		69	10	1	Lysekil_10	6474180	1249453	08ASO	1484	21	0,2	4,65	1.0		K	R	PL	50	JÖ	I	SA	LM	XX	GRA	L	C	3			SE5		6469502	296676				69_10
1976-09-22	1983-12-31	70	6	1	Ödskölt(Dalsland)_6	6526399	1288385	09BNO	1460	151,89	0,85	14,5			N	R	ME	50	JÖ	I	SA	GF	XX	GNE		E		Alternativnamn: Ödskölt		SE5		6522151	334952				70_6
1990-04-26	2011-07-15	70	101	3	Ödskölt(Dalsland)_101	6547750	1266750	09BNV	1438	184,92	0,55	5,55	1.00		N	R	PL	38	JÖ	I	GR	GF		GNE		E		Alternativnamn: Ödskölt		SE5		6543226	313075				70_101
1965-01-25	1987-12-30	72	15	1	Ronneby_15	6231482	1474089	03FNV	1081	27,54	0,6	6,6			N	R	ME	40	JÖ	I	SA	GF	XX	GNE		C				SE4		6229611	524047				72_15
1976-07-31	1983-12-31	72	2	1	Ronneby_2	6227006	1470178	03FNV	1081	3,99	0,5	4,4			N	R	ME	25	JÖ	I	SA	GF	XX	GNE		C				SE4		6225091	520190				72_2
1953-12-05	1976-12-17	72	18	1	Ronneby_18	6228505	1471103	03FNV	1081	6,93	0,6	12,5			N	R	ME	38	JS	U	SA	LM	LE	GNE		C				SE4		6226600	521097				72_18
1965-03-08	1987-12-30	72	17	1	Ronneby_17	6232045	1474519	03FNV	1081	29,06	0,8	5,6			N	R	ME	40	JÖ	I	SA	GF	XX	GNE		C				SE4		6230179	524470				72_17
1976-07-16	1986-06-15	72	1	1	Ronneby_1	6227006	1470159	03FNV	1081	4,17	0,5	4,5			N	R	ME	25	JÖ	I	SA	GF	XX	GNE		C				SE4		6225091	520171				72_1
1976-07-16	1981-06-15	72	4	1	Ronneby_4	6226981	1470152	03FNV	1081	4,1	0	1,65	1.65		N	R	ST	900	JÖ	U	SA	GF	SI	GNE		C				SE4		6225066	520165				72_4
1976-07-16	1977-12-01	72	5	1	Ronneby_5	6227026	1470026	03FNV	1081	8,7	0,2	6,7			NK	R	BE	800	JÖ	I	SA	GF	SA	GNE		C				SE4		6225109	520038				72_5
1954-10-16	1987-12-30	72	11	1	Ronneby_11	6227510	1470842	03FNV	1081	5,92	0,8	4,4			N	R		600	JS	I	MN	XX	LV	GNE		C				SE4		6225603	520848				72_11
1954-11-30	1987-12-30	72	12	1	Ronneby_12	6227503	1470855	03FNV	1081	9,27	1	8,1			N	R	ME	50	JÖ	I	GR	GF	XX	GNE		C				SE4		6225596	520861				72_12
1954-11-08	1987-12-30	72	13	1	Ronneby_13	6227561	1470753	03FNV	1081	4,68	0,2	4,55			N	R	ME	50	JÖ	I	SA	GF	XX	GNE		C				SE4		6225653	520759				72_13
1953-12-05	1987-12-30	72	14	1	Ronneby_14	6230592	1473366	03FNV	1081	21,41	0,6	7,5			N	R	BE		JÖ	I	SA	GF	XX	GNE		C				SE4		6228713	523335				72_14
1965-03-08	1987-12-30	72	16	1	Ronneby_16	6231628	1474198	03FNV	1081	28,12	0,7	4,6			N	R	ME	40	JÖ	I	SA	GF	XX	GNE		C				SE4		6229758	524154				72_16
1985-04-15	2009-01-14	72	23	2	Ronneby_23	6226880	1470670	03FNV	1081	9,31	1	5	1.00		NT	R	ME	40	JÖ	I	MN	XX	XX	GNE		C		Torrt vid 385 cm		SE4		6224971	520684				72_23
